pair_id,up_file,side_file,top_major_mm,top_minor_mm,top_aspect,top_circularity,top_px_per_mm_est,top_sym_score_lr,top_sym_score_ud,top_lr_width_mean_pct,top_lr_width_max_pct,top_lr_width_p95_pct,top_ud_width_mean_pct,top_ud_width_max_pct,top_ud_width_p95_pct,top_area_diff_lr_percent,top_area_diff_ud_percent,side_major_mm,side_minor_mm,side_shape_index(aspect),side_circularity,side_px_per_mm_est,side_sym_score_lr,side_sym_score_ud,side_lr_width_mean_pct,side_lr_width_max_pct,side_lr_width_p95_pct,side_ud_width_mean_pct,side_ud_width_max_pct,side_ud_width_p95_pct,side_area_diff_lr_percent,side_area_diff_ud_percent,LD_ratio,최종_판정,side_lr_symmetry_percent
22,20250807_123205.jpg,22.jpg,143.7342141641627,144.01423933968348,1.0019482151633081,0.7792372307168086,6.0,0.7789679829858913,0.7352256978986105,37.622270048539185,777.7776913580343,81.68733870960291,24.02616331906949,3171.427665306381,38.238832681945254,30.312142212448233,12.214441232314057,170.2010008079084,142.80386428073348,0.8390306966637889,0.8320123935383524,5.0,0.7767676034625368,0.8579403352048722,46.47448701207047,1329.411608304517,71.2675885565914,111.60770260039831,16066.655955562697,222.9113700838895,29.12805575770674,71.4565692288715,1.181834529615219,정형과,53.52551298792953
23,20250807_124948.jpg,23.jpg,180.30074787815582,168.09305463379533,0.9322926089435289,0.6797379159006964,6.0,0.7898256702408957,0.7154835049916533,49.580140086096925,7719.996912001234,82.58765382741899,13111757.775102815,14200000000.0,44.96531903201076,35.21371617524975,4.457756983580948,127.35350087890879,127.6827033579938,1.002584950368958,0.653102420299242,8.0,0.7451310797187323,0.7762820526662588,21.99208884146298,1133.3330814815374,50.9423784863786,37.235057613541656,1174.9998531250185,80.03225755242086,15.907716695458646,29.03897112368194,0.7063392824358783,비정형,78.00791115853701
24,20250807_125052.jpg,24.jpg,149.50812118919373,140.28240133336377,0.9382928513685531,0.7071625966004574,6.0,0.7822293719109759,0.7534254725759113,42.01160568122441,3479.9986080005565,87.03334861725742,24053524.273093864,21600000000.0,82.993196714332,31.761496227346832,19.502935713587615,138.6385379940594,119.75982902011901,0.8638278414711116,0.7827791503057846,6.0,0.7420545598639923,0.7521410549657221,26666710.852879524,19200000000.0,234.17802433064216,29.297276081255895,3239.998704000518,76.0226735411986,1.4878960495585682,18.427616245834567,0.9272977072504341,정형과,0.0
25,20250807_125207.jpg,25.jpg,144.5686248763694,133.3174569475968,0.9221742066205981,0.8727413428362004,6.0,0.741761643641623,0.8181811006363571,9737844.649884894,7800000000.0,28.571428231292522,14499484.0309993,12600000000.0,113.2177713303689,14.613920064599853,49.05623286730814,109.37019235901742,91.76851480345192,0.8390633025698042,0.7059765451290291,8.0,0.7533471775643334,0.7553477869125951,15510246.252648821,11400000000.0,163.5266147161821,26.109632775941368,1057.1427061224706,47.993575782349815,14.635660687893878,20.324084096758245,0.7565278597105521,비정형,0.0
26,20250807_125335.jpg,26.jpg,177.10180943668115,161.26153859032186,0.910558390697738,0.7447259855859761,6.0,0.8035308104765433,0.8289548567130951,16511944.314162092,16000000000.0,128.92910915895362,96.74921012538992,16599.991700004146,193.07752964217764,41.70684210036854,54.750054887879685,45.87644173795895,37.739394425125,0.822631245916764,0.8287320407802952,21.0,0.7402603496564286,0.8861392831484398,27.381334095366206,1999.999500000125,33.19005067429472,119.78922333460717,2115.7893623268756,281.9540209023129,13.175623052916746,89.952622014246,0.25903993801012554,비정형,72.61866590463379
27,20250807_125528.jpg,27.jpg,171.21161278107988,159.76063607175575,0.933117990518751,0.669566510265891,6.0,0.8051076775105888,0.7679597673894625,68.61709828671326,11399.994300002849,136.16787202703918,16909753.223247822,17400000000.0,166.20689450867397,42.47698852189624,25.540968655109218,118.88172105124352,99.23769382812867,0.8347599021160926,0.8302880195868018,8.0,0.7297677295479226,0.877376353012828,21635251.31577264,17200000000.0,108.0703709216585,128.5116922686867,9999.997500000625,278.4371049167787,10.44056293880091,83.94057184274902,0.6943554769456667,비정형,0.0
28,20250807_125645.jpg,28.jpg,193.31059559814636,174.75620005988117,0.9040177002152742,0.6695624964842881,6.0,0.7572590727408739,0.762915535661502,26.337102682377317,1839.9996320000735,45.00626232097312,18087888.33020064,21000000000.0,89.36170136713446,21.00869053639728,23.428544237764623,133.3653803884709,114.03435414516127,0.8550521418152027,0.8071118775511212,8.0,0.7673524436313413,0.8320469310187484,4595244.074336592,4200000000.0,200.72164846176346,34082477.29325046,36400000000.0,198.1712633228015,25.250529250317154,56.435971797528936,0.6899020717193928,비정형,0.0
29,20250807_125753.jpg,29.jpg,135.1789803065503,127.90120059114213,0.9461618981079448,0.7482660194111396,8.0,0.5267840182139887,0.7909296413150959,12.18509159993116,679.9999093333454,34.63872480638248,61.48343079100923,3599.9988000003996,125.10177446762631,4.843191360560968,35.68529244342365,162.92030616263705,136.69323834427044,0.8390190367541714,0.8473207119231991,6.0,0.7171869812166187,0.7975415878232033,40.307276733043516,9114.283110204824,15.789473601108034,63.47076083755895,7799.996880001248,154.87007187213075,5.843491938637456,38.82573580556331,1.205219227080843,정형과,59.692723266956484
30,20250813_153734.jpg,30.jpg,262.9791093064034,252.70996450992322,0.9609507202927082,0.6992611762918405,4.0,0.7844706452736434,0.7779875704378321,38.303704235961675,542.8570911564676,68.3734529614607,48.235092928063786,12199.9756000488,69.61038918822914,32.77045021723388,29.879583711259013,252.15135867393275,230.86998458962898,0.9156007955054346,0.8511112586891503,4.0,0.7162110763362257,0.8674634820257332,4108120.5134214656,3800000000.0,32.02203298315189,37029812.51863112,37400000000.0,250.03174571810595,3.411629526737848,77.43322242903815,0.9588265750042716,정형과,0.0
31,20250813_153907.jpg,31.jpg,243.91196981067588,228.80045805118712,0.9380452227448358,0.7712492936303257,4.0,0.3350245941257893,0.7814790531871278,5.0387410993470665,227.2727169421492,21.60178793324349,1228290.120647816,1200000000.0,91.39393870757912,0.023365732854604953,31.388833198865782,190.39642296220572,163.1710875822653,0.8570071067703581,0.8450786799024613,5.0,0.7469209721654964,0.7941546329155378,37.19701331999341,5457.141297959629,71.49460668829752,60.939791927960094,4345.453755372044,173.0128352924586,16.95361971031673,37.226646339472175,0.7805948314467352,비정형,62.80298668000659
32,20250813_154107.jpg,32.jpg,232.85659490748404,218.09469778692153,0.9366052006110133,0.7856788608290358,4.0,0.7422437814845531,0.7102161212732121,22.139980657330792,1533.3323111117927,46.17152262455117,25.781772550102193,8039.996784001286,20.048441726317236,15.141931327783379,2.754137842842077,147.48214866746966,120.57347623281517,0.8175462408313164,0.8343920335603539,6.0,0.7224435906194928,0.8773833753972227,46.233942432586524,8099.997975000505,125.34255161925867,110.14221093288923,4247.058323875492,226.82701006384605,0.913118859561113,83.94528992454654,0.6333604110549912,비정형,53.766057567413476
