region,year,cultivar,months_used,tmean_mean,tmean_std,tmax_max,tmin_min,prcp_sum,prcp_mean,rad_mean,humid_mean,humid_m05,humid_m06,humid_m07,humid_m08,humid_m09,humid_m10,prcp_m05,prcp_m06,prcp_m07,prcp_m08,prcp_m09,prcp_m10,rad_m05,rad_m06,rad_m07,rad_m08,rad_m09,rad_m10,tmax_m05,tmax_m06,tmax_m07,tmax_m08,tmax_m09,tmax_m10,tmean_m05,tmean_m06,tmean_m07,tmean_m08,tmean_m09,tmean_m10,tmin_m05,tmin_m06,tmin_m07,tmin_m08,tmin_m09,tmin_m10
장수,2021,Fuji,5-10,18.76405017921147,3.9857650447234816,28.567741935483873,7.290322580645161,1079.0,179.83333333333334,16.143010752688173,78.9588888888889,71.04838709677419,72.66000000000001,80.96129032258065,86.46451612903226,84.39333333333335,78.2258064516129,147.5,131.0,218.5,403.0,128.5,50.5,18.125806451612902,18.57,18.748387096774195,14.958064516129031,13.03,13.425806451612903,20.25483870967742,24.986666666666668,28.567741935483873,27.74516129032258,24.06,19.780645161290323,14.580645161290322,19.896666666666665,23.69677419354839,22.625806451612902,19.116666666666667,12.667741935483871,8.80967741935484,15.266666666666667,19.70967741935484,19.074193548387097,15.293333333333333,7.290322580645161
장수,2022,Fuji,5-10,18.87578853046595,4.280064449916996,28.11935483870968,5.696774193548387,703.5,117.25,17.02146953405018,77.34295698924731,58.270967741935486,77.99,84.48387096774194,85.85806451612903,80.9,76.55483870967741,4.0,208.5,176.0,173.5,75.5,66.0,23.816129032258065,18.15666666666667,17.54516129032258,13.525806451612903,14.836666666666668,14.248387096774193,22.51290322580645,25.413333333333334,28.11935483870968,27.019354838709678,24.933333333333334,18.638709677419353,15.7,20.64,23.625806451612902,23.200000000000003,18.65666666666667,11.432258064516128,8.561290322580644,16.573333333333334,19.870967741935484,20.135483870967743,13.74,5.696774193548387
장수,2023,Fuji,5-10,19.40372759856631,4.267381883896666,29.238709677419354,6.209677419354839,1762.5,293.75,15.995806451612902,81.08372759856631,73.56451612903226,76.17333333333333,87.24838709677418,86.44193548387096,86.5,76.5741935483871,229.0,336.5,720.5,309.5,155.0,12.0,17.883870967741935,19.46333333333333,14.890322580645162,15.603225806451613,14.356666666666666,13.77741935483871,21.61935483870968,25.98,27.68064516129032,29.238709677419354,26.066666666666666,19.448387096774194,15.867741935483872,20.4,23.55483870967742,24.261290322580646,20.293333333333333,12.04516129032258,10.312903225806451,15.303333333333335,20.548387096774192,20.551612903225806,16.246666666666666,6.209677419354839
장수,2024,Fuji,5-10,20.26317204301075,4.3118162728101685,31.17096774193548,8.754838709677419,1136.5,189.41666666666666,17.239336917562724,80.21879928315413,68.85333333333332,73.79666666666667,86.15806451612903,84.08064516129032,83.84666666666666,84.57741935483871,120.5,177.5,491.5,36.5,217.0,93.5,23.503333333333334,20.096666666666668,15.13225806451613,18.506451612903227,15.116666666666667,11.080645161290322,22.46333333333333,26.346666666666668,27.65806451612903,31.17096774193548,28.26,19.719354838709677,15.713333333333333,20.293333333333333,24.25483870967742,25.225806451612904,22.543333333333333,13.548387096774194,9.086666666666668,14.42,21.66774193548387,21.11935483870968,18.21333333333333,8.754838709677419
청송,2019,Fuji,5-10,18.90164874551971,3.707378398129108,29.13225806451613,6.874193548387097,871.5,145.25,15.232204301075269,80.57770609318996,65.15161290322581,79.3,84.52903225806452,84.37741935483871,86.55333333333333,83.55483870967741,39.0,196.0,132.0,151.5,164.0,189.0,20.361290322580647,16.970000000000002,14.106451612903227,16.370967741935484,11.82,11.764516129032257,24.38064516129032,25.5,27.44193548387097,29.13225806451613,24.89,19.751612903225805,15.851612903225806,18.703333333333333,22.583870967741937,23.799999999999997,19.503333333333334,12.96774193548387,6.874193548387097,12.34,18.39032258064516,19.44516129032258,15.126666666666667,7.296774193548386
청송,2020,Fuji,5-10,18.499175627240145,4.464218986210843,30.548387096774192,4.567741935483871,1122.0,187.0,14.860501792114695,81.20277777777778,74.20322580645161,75.71666666666667,88.44516129032259,85.69677419354838,84.9,78.25483870967743,48.5,134.5,379.0,194.0,358.5,7.5,18.551612903225806,17.966666666666665,11.67741935483871,15.529032258064515,12.286666666666667,13.151612903225805,22.748387096774195,27.77,24.903225806451612,30.548387096774192,23.59,19.225806451612904,15.62258064516129,20.773333333333333,20.541935483870965,25.206451612903226,17.873333333333335,10.97741935483871,8.63225806451613,14.063333333333333,17.01290322580645,21.361290322580647,13.139999999999999,4.567741935483871
청송,2021,Fuji,5-10,18.72421146953405,4.093427847328309,29.64516129032258,7.351612903225806,946.0,157.66666666666666,13.892849462365591,83.56055555555555,75.80967741935484,81.43,84.1258064516129,88.05806451612904,86.83333333333333,85.10645161290323,133.0,59.0,216.5,277.5,195.0,65.0,15.983870967741936,15.84,16.896774193548385,12.051612903225806,11.03,11.55483870967742,21.358064516129033,25.603333333333335,29.64516129032258,27.703225806451613,23.89,20.18064516129032,14.451612903225806,19.486666666666668,23.864516129032257,22.864516129032257,19.116666666666667,12.561290322580644,7.9064516129032265,14.183333333333334,19.24516129032258,19.55806451612903,15.496666666666666,7.351612903225806
청송,2022,Fuji,5-10,18.98127240143369,4.51440138503145,29.63225806451613,4.838709677419355,534.5,89.08333333333333,15.554569892473118,78.61756272401435,61.83870967741935,76.65,83.3741935483871,85.29677419354839,83.51666666666667,81.02903225806452,2.5,130.0,116.5,154.5,96.0,35.0,21.858064516129033,17.12,15.948387096774193,13.332258064516129,12.83,12.238709677419354,24.316129032258065,26.763333333333332,29.63225806451613,28.716129032258067,24.166666666666668,18.938709677419357,15.861290322580645,20.716666666666665,24.25483870967742,23.429032258064513,18.5,11.125806451612902,7.158064516129032,15.066666666666666,20.029032258064515,19.270967741935483,13.79,4.838709677419355
청송,2023,Fuji,5-10,19.508333333333333,4.727785183483349,30.187096774193545,5.003225806451613,1246.5,207.75,15.301559139784947,82.29593189964157,73.87096774193549,79.05666666666666,86.32903225806452,85.44516129032259,87.68666666666667,81.38709677419355,147.5,159.0,309.5,411.0,214.5,5.0,17.25483870967742,18.28666666666667,15.093548387096773,15.370967741935484,12.503333333333334,13.3,22.58709677419355,27.203333333333333,29.916129032258063,30.187096774193545,25.836666666666666,20.174193548387095,15.496774193548386,20.493333333333332,24.18064516129032,24.81935483870968,20.65666666666667,11.403225806451612,8.483870967741936,14.520000000000001,19.738709677419354,20.74516129032258,16.93,5.003225806451613
청송,2024,Fuji,5-10,20.52127240143369,4.466261043777852,32.02258064516129,7.323333333333333,933.0,155.5,15.917401433691756,81.14569892473118,71.48666666666666,76.20333333333333,84.56774193548387,82.16774193548386,85.91000000000001,86.53870967741935,110.5,113.5,255.0,40.5,335.0,78.5,20.976666666666667,18.540000000000003,14.858064516129033,18.548387096774192,13.02,9.561290322580644,23.476666666666667,28.173333333333336,29.61935483870968,32.02258064516129,28.186666666666667,20.183870967741935,15.386666666666667,20.59,25.041935483870965,25.79032258064516,22.279999999999998,14.038709677419355,7.323333333333333,13.793333333333333,21.0258064516129,21.009677419354837,18.096666666666668,9.009677419354839
충주,2020,Fuji,5-10,20.02101075268817,4.663616152563693,29.677419354838708,6.964516129032258,1133.5,226.7,12.641784946236559,81.90821505376344,,77.53333333333333,85.04516129032258,88.81612903225808,82.33999999999999,75.80645161290323,,65.0,398.0,504.5,154.5,11.5,,15.56,12.51290322580645,11.251612903225807,12.516666666666667,11.36774193548387,,27.586666666666666,26.34193548387097,29.677419354838708,23.873333333333335,17.92258064516129,,22.313333333333333,22.174193548387095,25.174193548387095,18.84333333333333,11.600000000000001,,18.52,19.17096774193548,22.58709677419355,15.573333333333332,6.964516129032258
충주,2021,Fuji,5-10,19.833136200716847,4.163392267526804,31.16774193548387,9.687096774193549,1167.5,194.58333333333334,14.459336917562723,80.5731541218638,72.98064516129033,77.59333333333333,81.83548387096775,85.14193548387097,83.01333333333334,82.8741935483871,190.5,125.5,292.5,259.5,256.5,43.0,15.551612903225807,17.30666666666667,18.429032258064513,12.603225806451613,13.03,9.83548387096774,21.348387096774193,26.916666666666668,31.16774193548387,28.190322580645162,25.053333333333335,18.858064516129033,15.55483870967742,21.226666666666667,25.27741935483871,23.46451612903226,20.03666666666667,13.438709677419356,10.709677419354838,17.15666666666667,21.509677419354837,20.490322580645163,16.546666666666667,9.687096774193549
충주,2022,Fuji,5-10,19.98496415770609,4.315492307043001,29.69677419354839,8.074193548387097,1285.0,214.16666666666666,13.693727598566307,77.87670250896058,56.78709677419355,74.37666666666668,86.0516129032258,87.92903225806452,80.28999999999999,81.8258064516129,10.5,223.5,382.0,469.5,97.5,102.0,21.774193548387096,15.723333333333333,14.609677419354838,10.69032258064516,12.21,7.15483870967742,24.58709677419355,27.473333333333336,29.69677419354839,27.893548387096775,25.476666666666667,17.61935483870968,17.47741935483871,21.866666666666667,24.89032258064516,23.93548387096774,19.636666666666667,12.103225806451613,11.203225806451613,17.313333333333333,21.85483870967742,21.219354838709677,15.673333333333334,8.074193548387097
충주,2023,Fuji,5-10,20.58252688172043,4.40906255474675,30.38064516129032,8.51290322580645,1466.0,244.33333333333334,12.206129032258064,80.50745519713261,65.6741935483871,75.85,87.80000000000001,84.5741935483871,85.43666666666667,83.70967741935483,133.0,223.0,584.5,249.5,243.0,33.0,17.23548387096774,17.226666666666667,12.59032258064516,12.170967741935485,8.413333333333334,5.6,24.029032258064515,27.633333333333333,29.506451612903227,30.38064516129032,26.05666666666667,18.248387096774195,17.758064516129032,21.80666666666667,24.77741935483871,25.429032258064513,21.243333333333332,12.480645161290322,12.12258064516129,17.446666666666665,21.783870967741933,22.138709677419353,18.216666666666665,8.51290322580645
충주,2024,Fuji,5-10,21.44331541218638,4.371329486993416,32.38709677419355,10.219354838709679,1312.5,218.75,12.645268817204302,80.13645161290323,68.51,71.18,87.31612903225808,83.66451612903225,83.89,86.25806451612904,143.0,131.5,532.5,82.5,273.5,149.5,19.233333333333334,18.52,11.003225806451614,13.441935483870967,8.366666666666667,5.306451612903226,23.876666666666665,28.753333333333334,29.383870967741935,32.38709677419355,28.586666666666666,19.335483870967742,17.023333333333333,22.14333333333333,25.116129032258065,26.783870967741933,23.19,14.403225806451612,11.163333333333332,16.743333333333332,22.361290322580647,23.26451612903226,19.84333333333333,10.219354838709679
