region,year,cultivar,months_used,tmean_mean,tmean_std,tmax_max,tmin_min,prcp_sum,prcp_mean,rad_mean,humid_mean,humid_m05,humid_m06,humid_m07,humid_m08,prcp_m05,prcp_m06,prcp_m07,prcp_m08,rad_m05,rad_m06,rad_m07,rad_m08,tmax_m05,tmax_m06,tmax_m07,tmax_m08,tmean_m05,tmean_m06,tmean_m07,tmean_m08,tmin_m05,tmin_m06,tmin_m07,tmin_m08
장수,2021,Hongro,5-8,20.19997311827957,3.52778707594801,28.567741935483873,8.80967741935484,900.0,225.0,17.600564516129033,77.78354838709677,71.04838709677419,72.66000000000001,80.96129032258065,86.46451612903226,147.5,131.0,218.5,403.0,18.125806451612902,18.57,18.748387096774195,14.958064516129031,20.25483870967742,24.986666666666668,28.567741935483873,27.74516129032258,14.580645161290322,19.896666666666665,23.69677419354839,22.625806451612902,8.80967741935484,15.266666666666667,19.70967741935484,19.074193548387097
장수,2022,Hongro,5-8,20.791451612903227,3.1535888207837632,28.11935483870968,8.561290322580644,562.0,140.5,18.260940860215054,76.65072580645162,58.270967741935486,77.99,84.48387096774194,85.85806451612903,4.0,208.5,176.0,173.5,23.816129032258065,18.15666666666667,17.54516129032258,13.525806451612903,22.51290322580645,25.413333333333334,28.11935483870968,27.019354838709678,15.7,20.64,23.625806451612902,23.200000000000003,8.561290322580644,16.573333333333334,19.870967741935484,20.135483870967743
장수,2023,Hongro,5-8,21.020967741935483,3.311401880495921,29.238709677419354,10.312903225806451,1595.5,398.875,16.96018817204301,80.85704301075268,73.56451612903226,76.17333333333333,87.24838709677418,86.44193548387096,229.0,336.5,720.5,309.5,17.883870967741935,19.46333333333333,14.890322580645162,15.603225806451613,21.61935483870968,25.98,27.68064516129032,29.238709677419354,15.867741935483872,20.4,23.55483870967742,24.261290322580646,10.312903225806451,15.303333333333335,20.548387096774192,20.551612903225806
장수,2024,Hongro,5-8,21.371827956989247,3.753219061563515,31.17096774193548,9.086666666666668,826.0,206.5,19.30967741935484,78.22217741935484,68.85333333333332,73.79666666666667,86.15806451612903,84.08064516129032,120.5,177.5,491.5,36.5,23.503333333333334,20.096666666666668,15.13225806451613,18.506451612903227,22.46333333333333,26.346666666666668,27.65806451612903,31.17096774193548,15.713333333333333,20.293333333333333,24.25483870967742,25.225806451612904,9.086666666666668,14.42,21.66774193548387,21.11935483870968
청송,2019,Hongro,5-8,20.23470430107527,3.153827226216339,29.13225806451613,6.874193548387097,518.5,129.625,16.95217741935484,78.33951612903226,65.15161290322581,79.3,84.52903225806452,84.37741935483871,39.0,196.0,132.0,151.5,20.361290322580647,16.970000000000002,14.106451612903227,16.370967741935484,24.38064516129032,25.5,27.44193548387097,29.13225806451613,15.851612903225806,18.703333333333333,22.583870967741937,23.799999999999997,6.874193548387097,12.34,18.39032258064516,19.44516129032258
청송,2020,Hongro,5-8,20.536075268817203,3.391576710889505,30.548387096774192,8.63225806451613,756.0,189.0,15.931182795698923,81.01545698924731,74.20322580645161,75.71666666666667,88.44516129032259,85.69677419354838,48.5,134.5,379.0,194.0,18.551612903225806,17.966666666666665,11.67741935483871,15.529032258064515,22.748387096774195,27.77,24.903225806451612,30.548387096774192,15.62258064516129,20.773333333333333,20.541935483870965,25.206451612903226,8.63225806451613,14.063333333333333,17.01290322580645,21.361290322580647
청송,2021,Hongro,5-8,20.16682795698925,3.6768438157904213,29.64516129032258,7.9064516129032265,686.0,171.5,15.19306451612903,82.3558870967742,75.80967741935484,81.43,84.1258064516129,88.05806451612904,133.0,59.0,216.5,277.5,15.983870967741936,15.84,16.896774193548385,12.051612903225806,21.358064516129033,25.603333333333335,29.64516129032258,27.703225806451613,14.451612903225806,19.486666666666668,23.864516129032257,22.864516129032257,7.9064516129032265,14.183333333333334,19.24516129032258,19.55806451612903
청송,2022,Hongro,5-8,21.06545698924731,3.2773331076329564,29.63225806451613,7.158064516129032,403.5,100.875,17.06467741935484,76.78991935483872,61.83870967741935,76.65,83.3741935483871,85.29677419354839,2.5,130.0,116.5,154.5,21.858064516129033,17.12,15.948387096774193,13.332258064516129,24.316129032258065,26.763333333333332,29.63225806451613,28.716129032258067,15.861290322580645,20.716666666666665,24.25483870967742,23.429032258064513,7.158064516129032,15.066666666666666,20.029032258064515,19.270967741935483
청송,2023,Hongro,5-8,21.24752688172043,3.7081363980180035,30.187096774193545,8.483870967741936,1027.0,256.75,16.501505376344085,81.17545698924731,73.87096774193549,79.05666666666666,86.32903225806452,85.44516129032259,147.5,159.0,309.5,411.0,17.25483870967742,18.28666666666667,15.093548387096773,15.370967741935484,22.58709677419355,27.203333333333333,29.916129032258063,30.187096774193545,15.496774193548386,20.493333333333332,24.18064516129032,24.81935483870968,8.483870967741936,14.520000000000001,19.738709677419354,20.74516129032258
청송,2024,Hongro,5-8,21.7022311827957,4.152996793195326,32.02258064516129,7.323333333333333,519.5,129.875,18.230779569892473,78.60637096774192,71.48666666666666,76.20333333333333,84.56774193548387,82.16774193548386,110.5,113.5,255.0,40.5,20.976666666666667,18.540000000000003,14.858064516129033,18.548387096774192,23.476666666666667,28.173333333333336,29.61935483870968,32.02258064516129,15.386666666666667,20.59,25.041935483870965,25.79032258064516,7.323333333333333,13.793333333333333,21.0258064516129,21.009677419354837
충주,2020,Hongro,5-8,23.22057347670251,1.3825853821266376,29.677419354838708,18.52,967.5,322.5,13.108172043010754,83.79820788530466,,77.53333333333333,85.04516129032258,88.81612903225808,,65.0,398.0,504.5,,15.56,12.51290322580645,11.251612903225807,,27.586666666666666,26.34193548387097,29.677419354838708,,22.313333333333333,22.174193548387095,25.174193548387095,,18.52,19.17096774193548,22.58709677419355
충주,2021,Hongro,5-8,21.380860215053765,3.656880409897588,31.16774193548387,10.709677419354838,868.0,217.0,15.97263440860215,79.3878494623656,72.98064516129033,77.59333333333333,81.83548387096775,85.14193548387097,190.5,125.5,292.5,259.5,15.551612903225807,17.30666666666667,18.429032258064513,12.603225806451613,21.348387096774193,26.916666666666668,31.16774193548387,28.190322580645162,15.55483870967742,21.226666666666667,25.27741935483871,23.46451612903226,10.709677419354838,17.15666666666667,21.509677419354837,20.490322580645163
충주,2022,Hongro,5-8,22.04247311827957,2.8532595413677018,29.69677419354839,11.203225806451613,1085.5,271.375,15.699381720430107,76.28610215053763,56.78709677419355,74.37666666666668,86.0516129032258,87.92903225806452,10.5,223.5,382.0,469.5,21.774193548387096,15.723333333333333,14.609677419354838,10.69032258064516,24.58709677419355,27.473333333333336,29.69677419354839,27.893548387096775,17.47741935483871,21.866666666666667,24.89032258064516,23.93548387096774,11.203225806451613,17.313333333333333,21.85483870967742,21.219354838709677
충주,2023,Hongro,5-8,22.44279569892473,3.0298284936047173,30.38064516129032,12.12258064516129,1190.0,297.5,14.805860215053762,78.47459677419354,65.6741935483871,75.85,87.80000000000001,84.5741935483871,133.0,223.0,584.5,249.5,17.23548387096774,17.226666666666667,12.59032258064516,12.170967741935485,24.029032258064515,27.633333333333333,29.506451612903227,30.38064516129032,17.758064516129032,21.80666666666667,24.77741935483871,25.429032258064513,12.12258064516129,17.446666666666665,21.783870967741933,22.138709677419353
충주,2024,Hongro,5-8,22.766666666666666,3.7091887935952443,32.38709677419355,11.163333333333332,889.5,222.375,15.54962365591398,77.66766129032258,68.51,71.18,87.31612903225808,83.66451612903225,143.0,131.5,532.5,82.5,19.233333333333334,18.52,11.003225806451614,13.441935483870967,23.876666666666665,28.753333333333334,29.383870967741935,32.38709677419355,17.023333333333333,22.14333333333333,25.116129032258065,26.783870967741933,11.163333333333332,16.743333333333332,22.361290322580647,23.26451612903226
